 Hyundai Elantra Versión Especial 2.0 ,10.500, 2007 | 220000 km,Pichincha ( Quito )
 Kia Sportage Automatico ,15.000, 2011 | 160000 km,Guayas
 Chevrolet Luv Full ,9.500, 1988 | 150250 km,Guayas
 Jeep Liberty Jeep Cherokee Limited Liberty 4x4 ,19.000, 2007 | 125000 km,Pichincha ( Quito )
 Citroën Ds4 Ds4 ,19.900, 2014 | 70200 km,Pichincha ( Quito )
 Volkswagen New Beetle New Beetle ,17.500, 2006 | 149000 km,Pichincha ( Quito )
 Hyundai Santa Fe Santa Fé 2.4 4x2 ,10.700, 2005 | 186470 km,Guayas
 Volkswagen Amarok Todo Terreno ,29.500, 2017 | 62 km,Guayas
 Mitsubishi Outlander 2wd ,18.000, 2009 | 156000 km,Pichincha ( Quito )
 Hyundai Tucson Ix ,20.600, 2013 | 124000 km,Chimborazo
 Chevrolet Aveo Aveo Emotion Gt ,10.000, 2010 | 145785 km,Pichincha ( Quito )
 Jeep Grand Cherokee Jeep ,10.500, 2001 | 235000 km,Pichincha ( Quito )
 Mazda Mazda 6 Mazda 6 ,13.500, 2008 | 150000 km,Pichincha ( Quito )
 Fiat Premio 1.3 ,3.600, 1995 | 342877 km,Santo Domingo De Los Tsáchilas
 Tianye (china) Admiral (tecnología Toyota) 2.2 ,12.800, 2012 | 136000 km,Pichincha ( Quito )
 Toyota Prado 4x4 ,22.500, 2008 | 215000 km,Pichincha ( Quito )
 Suzuki Forsa Nissan March ,10.600, 2013 | 160000 km,Pichincha ( Quito )
 Byd Song Full ,22.000, 2017 | 45000 km,Guayas
 Toyota Hilux Toyota Hilux 4x4 ,20.000, 2009 | 260000 km,Loja
 Chevrolet Trooper Americana 1992 ,8.900, 1992 | 166000 km,Azuay
 Toyota Land Cruiser Land Cruiser 4x4 ,9.000, 2020 | 1 km,Guayas
 Ssangyong Korando A230 Gasolina 4x2 ,13.200, 2008 | 131500 km,Chimborazo
 Chevrolet Grand Vitara Sz 2018 ,22.500, 2018 | 19000 km,Pichincha ( Quito )
 Ford Explorer Xlt ,14.900, 2008 | 200000 km,Pichincha ( Quito )
 Ford Edge Ford Edge 2013 Automatico ,28.000, 2013 | 66000 km,Pichincha ( Quito )
 Mazda Mazda 6 6 Extra ,14.900, 2009 | 98000 km,Guayas
 Toyota Corolla Vvt-i 16 Valve ,11.500, 2006 | 163000 km,Pichincha ( Quito )
 Honda Cr-v Automtica ,15.000, 2004 | 254000 km,El Oro
 Chevrolet Tracker Automatica ,17.500, 2014 | 75000 km,Pichincha ( Quito )
 Chevrolet D-max Dmax Crdi Full Ac 3.0 4x4 ,29.000, 2014 | 77000 km,Pichincha ( Quito )
 Chevrolet Chevrolet Ftr ,49.500, 2015 | 315000 km,El Oro
 Mazda Mazda 3 Sedan ,18.500, 2014 | 52000 km,Pichincha ( Quito )
 Chevrolet Aveo Aveo Emotion ,10.800, 2009 | 145000 km,Pichincha ( Quito )
 Renault Logan Mecanica ,8.000, 2005 | 189000 km,Santa Elena
 Renault Duster Expresion ,15.800, 2014 | 95000 km,Guayas
 Volkswagen Gol Gol ,9.200, 2010 | 131000 km,Tungurahua
 Skoda Fabia Combi Skoda Fabia Combi ,8.000, 2009 | 150000 km,El Oro
 Kia Picanto Full Equipado ,16.000, 2019 | 30000 km,Pichincha ( Quito )
 Volkswagen Polo Standar ,7.000, 2004 | 181700 km,Pichincha ( Quito )
 Kia Picanto Picanto R ,9.900, 2013 | 138000 km,Pichincha ( Quito )
 Mitsubishi Montero 5p ,10.500, 1998 | 248000 km,Pichincha ( Quito )
 Toyota 4runner 4runner 4wd ,7.000, 1992 | 250000 km,El Oro
 Suzuki Forsa 2 ,5.000, 1992 | 88276 km,Pichincha ( Quito )
 Chevrolet Aveo Activo ,9.000, 2009 | 203000 km,Pichincha ( Quito )
 Chery Tiggo 2.0 ,10.200, 2013 | 122000 km,Pichincha ( Quito )
 Renault Koleos Automatico ,17.000, 2010 | 100000 km,Guayas
 Ford Explorer Explorer ,18.000, 2008 | 18000 km,Pichincha ( Quito )
 Suzuki Grand Vitara Manual 6 Velocidades ,20.900, 2018 | 33000 km,Pichincha ( Quito )
 Chevrolet Vitara Clasico 3p ,4.800, 1990 | 1234 km,Chimborazo
 Suzuki Forsa 98 ,6.800, 1998 | 135000 km,Pichincha ( Quito )
 Renault Logan Dynamique 1.6 Full ,8.700, 2011 | 165000 km,Pichincha ( Quito )
 Kia Kia Rondo Station 1.6 ,13.000, 2010 | 143000 km,Pichincha ( Quito )
 Suzuki Grand Vitara 2009 ,14.000, 2009 | 200000 km,Guayas
 Chevrolet Vitara Manual ,7.000, 1996 | 0 km,Azuay
 Suzuki Grand Vitara Semi Full ,19.700, 2018 | 45000 km,Pichincha ( Quito )
 Mazda Cx-3 Moderna ,24.900, 2019 | 19000 km,Carchi
 Chevrolet Corsa Corsa Evolution 1.8 ,8.700, 2004 | 193000 km,Tungurahua
 Nissan Tiida Hatchback ,10.300, 2008 | 150000 km,Pichincha ( Quito )
 Chevrolet Aveo 1.5 ,1, 2012 | 372776 km,Manabí
 Chevrolet Aveo Ls 1.4 ,8.000, 2006 | 300000 km,Guayas
 Kia Rio R ,15.500, 2015 | 120000 km,Guayas
 Chevrolet Grand Vitara Grand Vitara 4x4 ,10.500, 2007 | 230000 km,Guayas
 Chevrolet Aveo Family 1.5 ,8.500, 2011 | 340000 km,Napo
 Hyundai H1 Starex ,10.500, 2002 | 550000 km,Loja
 Chevrolet Aveo Emotion 2012 ,11.900, 2012 | 145 km,Pichincha ( Quito )
 Mazda Bt-50 Turbo Diésel ,16.500, 2011 | 118000 km,Azuay
 Chevrolet Optra Limited Caja Manual ,8.300, 2007 | 254000 km,Guayas
 Renault Sandero 1.6 T/m Full ,9.500, 2011 | 124000 km,Pichincha ( Quito )
 Ford Explorer Explorer Xlt V6 ,10.000, 2003 | 268000 km,Guayas
 Suzuki Forsa Forsa 1 ,4.500, 1990 | 256042 km,Chimborazo
 Hyundai Elantra Full Elantra ,12.300, 2010 | 190000 km,Pichincha ( Quito )
 Hyundai Santa Fe Hiunday ,12.300, 2013 | 45600 km,Pichincha ( Quito )
 Fiat Uno Uno Fire ,2.900, 1991 | 350000 km,Pichincha ( Quito )
 Nissan Datsun 1976 ,1.600, 1976 | 200000 km,Guayas
 Chevrolet D-max Doble Cabina ,27.000, 2017 | 70000 km,Guayas
 Hyundai Getz Hatbash ,9.200, 2011 | 270000 km,Pichincha ( Quito )
 Chevrolet D-max Luv Dmax 4x2 ,26.500, 2018 | 73500 km,Pichincha ( Quito )
 Chevrolet Corsa 1.8 ,6.800, 2003 | 267000 km,Pichincha ( Quito )
 Vw Fox 2005 Fox 1.6 ,7.300, 2005 | 130725 km,Pichincha ( Quito )
 Ford Ranger Camioneta ,7.500, 1998 | 380000 km,Cotopaxi
 Kia Sorento 2012 ,22.500, 2012 | 1 km,Pichincha ( Quito )
 Polaris Rzr 1000 Fox Fox Edition ,15.500, 2015 | 9900 km,Azuay
 Hyundai Accent Gls ,5.500, 1998 | 294200 km,Pichincha ( Quito )
 Chevrolet Grand Vitara Grandvitara 5p ,17.000, 2015 | 73500 km,Pichincha ( Quito )
 Scania 89 Americana ,20.000, 1989 | 999999 km,Cotopaxi
 Hyundai Tucson Ix ,19.000, 2011 | 174000 km,Pichincha ( Quito )
 Hyundai Tucson Tucson Activo ,14.900, 2009 | 179000 km,Pichincha ( Quito )
 Chevrolet Trailblazer 4x2 Full ,14.890, 2007 | 120000 km,Pichincha ( Quito )
 Chery Q5 2017 ,8.300, 2017 | 80000 km,Guayas
 Volkswagen Passat 2.0 Turbo Rline ,22.000, 2009 | 200000 km,Pichincha ( Quito )
 Peugeot 206 Berlina ,5.000, 2006 | 199000 km,Pichincha ( Quito )
 Mazda 323 323 ,4.750, 1998 | 272000 km,Tungurahua
 Chevrolet D-max Luv Dmax ,16.000, 2009 | 124500 km,El Oro
 Hyundai Tucson Hyundai Tucson 2008 ,13.200, 2008 | 193000 km,Pichincha ( Quito )
 Ford Explorer 4x4 ,11.400, 2005 | 252 km,Pichincha ( Quito )
 Mazda Mazda 3 Hatchback (5 Puertas) ,9.400, 2007 | 185000 km,Pichincha ( Quito )
 Great Wall M4 Luxury Luxuru ,12.000, 2015 | 116500 km,Santo Domingo De Los Tsáchilas
 Hyundai Elantra Motor Por Reparar ,2.000, 1994 | 260342 km,Guayas
 Chevrolet Trailblazer 2005 ,12.500, 2005 | 227500 km,Pichincha ( Quito )
 Chevrolet Toyota 2015 Full ,18.000, 2015 | 46500 km,Pichincha ( Quito )
 Fiat Siena Grand Siena ,11.500, 2013 | 69000 km,Pichincha ( Quito )
 Renault Logan 1.6 ,7.500, 2011 | 135000 km,Guayas
 Toyota Yaris Toyota Yaris ,7.500, 2004 | 273372 km,Tungurahua
 Mazda Mazda 2 00000 ,1.700, 1979 | 5 km,Manabí
 Nissan Frontier Frontier ,16.500, 2013 | 80000 km,Pichincha ( Quito )
 Nissan X-trail Sence Cvt Ac 2.5 5p 4x2 ,25.000, 2016 | 1 km,Pichincha ( Quito )
 Chevrolet Trooper Jeep 4x4 ,3.000, 1982 | 1 km,Pichincha ( Quito )
 Volkswagen Amarok 2011 ,18.500, 2011 | 160000 km,Bolívar
 Chevrolet Sail Semi Full ,11.300, 2015 | 54 km,Pichincha ( Quito )
 Chevrolet Grand Vitara Sport 3p 4x4 Full ,16.200, 2015 | 134000 km,Pichincha ( Quito )
 Mazda Mazda Allegro Elite ,9.000, 2007 | 192000 km,Pichincha ( Quito )
 Hyundai H100 2004 ,7.800, 2004 | 178500 km,Pichincha ( Quito )
 Chevrolet Aveo 1.6 Cc A/c ,8.300, 2011 | 227000 km,Pichincha ( Quito )
 Chevrolet Optra Sedan ,10.000, 2005 | 70100 km,Pichincha ( Quito )
 Chevrolet Luv Luv ,10.500, 2005 | 315000 km,Manabí
 Peugeot 206 Normal ,5.600, 2005 | 150000 km,Pichincha ( Quito )
 Chevrolet Vitara Grand Vitara ,5.750, 1994 | 98000 km,Pichincha ( Quito )
 Hyundai I10 Sedan ,13.800, 2018 | 25000 km,Pichincha ( Quito )
 Daewoo Lanos 1.5 ,5.000, 2002 | 700 km,Manabí
 Skoda Fabia Combi Fabia Combi ,5.000, 2002 | 590000 km,Guayas
 Renault Mégane Megane ,5.500, 2004 | 1 km,Guayas
 Volkswagen Gol Gol 1.8 ,6.500, 2002 | 273242 km,Chimborazo
 Nissan Sentra Versión Wagon ,5.500, 2003 | 785 km,Azuay
 Honda Crv 1998 3.2 ,8.500, 1998 | 151852 km,Pichincha ( Quito )
 Kia Sorento Sorento Ex 4x4 ,34.700, 2015 | 48000 km,Azuay
 Chevrolet Astra Sedan ,6.200, 2005 | 240000 km,Imbabura
 Chevrolet Grand Vitara Suzuki Sz ,15.500, 2011 | 144000 km,Pichincha ( Quito )
 New Super 2007 2007 ,9.700, 2007 | 197500 km,Pichincha ( Quito )
 Kia Carnival Van ,11.000, 2004 | 280000 km,Pichincha ( Quito )
 Nissan X-trail Nissan X-trail Sense ,35.500, 2018 | 20000 km,Pichincha ( Quito )
 Chevrolet Corsa 1.8 ,6.200, 2005 | 380000 km,Los Ríos
 Chevrolet Aveo Aveo Family 2013 ,9.000, 2013 | 149000 km,Los Ríos
 Volkswagen Golf Golf Mk7 ,21.500, 2015 | 66000 km,Pichincha ( Quito )
 Chevrolet Trooper 4x4 ,10.800, 2001 | 305000 km,Los Ríos
 Ford Explorer Xlt ,55.000, 2018 | 28500 km,Guayas
 Jeep Cherokee Limited ,7.600, 1988 | 318000 km,Chimborazo
 Kia Sportage Active 2015 ,18.000, 2015 | 79000 km,Pichincha ( Quito )
 Suzuki Grand Vitara Sz Next 2.4 Ta ,17.500, 2015 | 130000 km,Pichincha ( Quito )
 Kia Sportage R ,21.000, 2011 | 165000 km,Guayas
 Chevrolet Grand Vitara Grand Vitara Full ,13.900, 2011 | 180 km,Pichincha ( Quito )
 Volkswagen Gol Gol ,9.300, 2014 | 65000 km,Pichincha ( Quito )
 Chevrolet D-max Colorado ,23.500, 2009 | 999999 km,Azuay
 Suzuki Grand Vitara Sz ,13.999, 2012 | 168000 km,Guayas
 Mazda Bt-50 Bt-50 ,13.800, 2011 | 192934 km,Guayas
 Kia Sportage Active ,17.000, 2011 | 214000 km,Pichincha ( Quito )
 Mitsubishi Eclipse Full ,34.999, 2008 | 95000 km,Guayas
 Chevrolet Vitara 2009 ,10.000, 2009 | 186000 km,Guayas
 Renault Logan Logan ,6.000, 2007 | 380000 km,Pichincha ( Quito )
 Chevrolet Corsa 1.4 ,7.500, 2005 | 182200 km,Pichincha ( Quito )
 Hyundai Accent 1500 ,5.000, 2002 | 150000 km,Esmeraldas
 Kia Sportage Kia Sportague ,26.000, 2018 | 74000 km,Guayas
 Chevrolet Optra Automatico ,8.800, 2007 | 143000 km,Pichincha ( Quito )
 Hyundai Tucson Ix 35 ,18.000, 2012 | 121000 km,Guayas
 Chevrolet Sail Sedan ,14.600, 2018 | 41000 km,Azuay
 Chevrolet Corsa Wind 1.4 Negociable ,6.800, 2002 | 6973 km,Tungurahua
 Chevrolet Corsa Full Equipo ,6.400, 2004 | 290000 km,Manabí
 Chevrolet Aveo 1.5l Tm Std ,10.000, 2012 | 103000 km,Loja
 Chevrolet Aveo Aveo Gt 1.4 Full ,8.950, 2006 | 158000 km,Cañar
 Kia Pregio Pregio Turbo Disel ,25.999, 2013 | 174000 km,Imbabura
 Chevrolet Aveo Family ,11.400, 2015 | 120000 km,Pichincha ( Quito )
 Toyota Hilux Hilux 4x2 ,20.500, 2012 | 89700 km,Pichincha ( Quito )
 Renault Scénic Scenic ,8.300, 2002 | 227000 km,Pichincha ( Quito )
 Mercedes-benz Otros Modelos Full Equipo ,12.800, 2006 | 252400 km,Pichincha ( Quito )
 Kia Cerato Forte ,15.500, 2014 | 106300 km,Tungurahua
 Hyundai I30 Deportiva ,16.000, 2013 | 77000 km,Pichincha ( Quito )
 Suzuki Forsa 2 ,5.500, 1993 | 155000 km,Pichincha ( Quito )
 Chevrolet Sail 4 Puertas ,10.900, 2014 | 167000 km,Pichincha ( Quito )
 Ford Ecosport 4x2 ,12.500, 2009 | 157000 km,Pichincha ( Quito )
 Chevrolet Sail 2016 ,11.700, 2016 | 85550 km,El Oro
 Suzuki Grand Vitara Sz ,14.300, 2010 | 91000 km,Pichincha ( Quito )
 Nissan ,28.000, 2011 | 46500 km,Guayas
 Chevrolet Cruze X ,20.100, 2006 | 278000 km,Pichincha ( Quito )
 Nissan Sentra Sentra B15 ,7.800, 2007 | 190000 km,Guayas
 Chevrolet D-max Doble Cabina ,13.800, 2019 | 26000 km,Pichincha ( Quito )
 Chevrolet Spark Ltz ,13.600, 2013 | 104000 km,Pichincha ( Quito )
 Toyota Fortuner Fortuner 4x4 Full ,29.900, 2012 | 117000 km,Pichincha ( Quito )
 Renault Koleos Full Full 4 X 4 ,17.800, 2009 | 210 km,Pichincha ( Quito )
 Chevrolet Aveo Auto ,9.800, 2005 | 255000 km,Cañar
 Toyota Fortuner Tahilandia ,27.000, 2010 | 144000 km,Azuay
 Chevrolet Spark Full Tm Ac ,12.400, 2018 | 17500 km,Pichincha ( Quito )
 Ford Fusion 2.5 Hibrido ,16.000, 2010 | 69000 km,Guayas
 Nissan Frontier Pick Up ,11.500, 2011 | 140000 km,Pichincha ( Quito )
 Daewoo Lanos Sedan ,5.300, 2001 | 172500 km,Pichincha ( Quito )
 Chevrolet Grand Vitara Gran Vitara 5p ,13.500, 2008 | 190000 km,Pastaza
 Mercedes-benz Clase E 230e/1986 ,4.500, 1995 | 1000 km,Pichincha ( Quito )
 Mazda Bt-50 Pick Up ,20.900, 2015 | 80990 km,Tungurahua
 Toyota Yaris Sport ,19.500, 2019 | 42118 km,Guayas
 Renault Logan 1.6 Mt Ac ,9.500, 2012 | 102000 km,Guayas
 Dongfeng Cityvan C37 Comfort ,15.999, 2018 | 0 km,Pichincha ( Quito )
 Nissan X-trail Classic ,12.000, 2010 | 169000 km,Pichincha ( Quito )
 Chery Tiggo 2 Luxury ,16.999, 2019 | 0 km,Pichincha ( Quito )
 Chery Tiggo 3 Comfort ,16.999, 2019 | 0 km,Pichincha ( Quito )
 Nissan Primera Glx ,8.000, 1998 | 189000 km,Pichincha ( Quito )
 Toyota Prius Full ,13.900, 2010 | 115000 km,Imbabura
 Chevrolet Sail Hatchback ,13.500, 2017 | 43000 km,Pichincha ( Quito )
 Chery Tiggo Comfort ,15.999, 2018 | 0 km,Pichincha ( Quito )
 Chevrolet Cavalier Sport Full ,18.900, 2018 | 15000 km,Pichincha ( Quito )
 Chevrolet Aveo Chevrolet ,8.600, 2011 | 57000 km,Pichincha ( Quito )
 Ford F150 Doble Cabina 4x2 ,27.000, 2012 | 76000 km,Pichincha ( Quito )
 Toyota Prius Prius C Sport ,12.999, 2013 | 140000 km,Pichincha ( Quito )
 Chevrolet Optra Limited ,8.000, 2006 | 225 km,Guayas
 Suzuki Grand Vitara 2.0 ,13.200, 2011 | 177000 km,Pichincha ( Quito )
 Hyundai Tucson Clasico 2000cc ,13.499, 2009 | 178000 km,Azuay
 Mitsubishi Montero Montero ,7.500, 1999 | 232000 km,Santo Domingo De Los Tsáchilas
 Great Wall M4 2015 Auto ,12.000, 2015 | 73000 km,Tungurahua
 Chevrolet Grand Vitara Grand Vitara ,12.500, 2007 | 148000 km,Pichincha ( Quito )
 Nissan Quashquai Automatica ,29.900, 2019 | 26500 km,Pichincha ( Quito )
 Ford Otros Modelos V260 ,8.900, 1984 | 500000 km,Azuay
 Honda Cr-v 2008 Full Equipado 4x4 Automático ,17.299, 2008 | 126000 km,Pichincha ( Quito )
 Nissan Tiida Tiida Entry Tm ,12.500, 2013 | 105000 km,Guayas
 Kia Picanto Full 2019 ,15.000, 2019 | 37000 km,Manabí
 Nissan Nissan Versa ,13.800, 2013 | 40300 km,Pichincha ( Quito )
 Mazda Bt-50 Bt50 ,14.900, 2010 | 187000 km,Pichincha ( Quito )
 Talbot Solara 1981 ,3.200, 1995 | 111054 km,Pichincha ( Quito )
 Chevrolet Trailblazer Ltz ,9.500, 2004 | 160000 km,Santo Domingo De Los Tsáchilas
 Nissan Kicks Drive ,23.999, 2018 | 44000 km,Guayas
 Datsun 1800 Cabina Un Cuarto ,4.700, 1994 | 280000 km,Pichincha ( Quito )
 Kia Picanto R ,8.900, 2013 | 122000 km,Pichincha ( Quito )
 Ford Fairmont Standard ,4.100, 1995 | 100000 km,Pichincha ( Quito )
 Honda Cr-v Honda Crv 98 ,8.900, 1998 | 35000 km,Pichincha ( Quito )
 Kia Soul Versión Full ,14.199, 2010 | 106350 km,Pichincha ( Quito )
 Nissan Sentra Sport 2.0 ,14.100, 2012 | 72000 km,Tungurahua
 Citroën C3 C3 ,7.600, 2005 | 162000 km,Pichincha ( Quito )
 Chevrolet Spark Std ,10.800, 2019 | 15000 km,Pichincha ( Quito )
 Ford F150 F150 4x4 ,16.900, 2010 | 120000 km,Pichincha ( Quito )
 Volkswagen Saveiro Saveiro ,9.200, 2006 | 180000 km,Pichincha ( Quito )
 Chevrolet D-max Luv D-max ,10.400, 2006 | 310000 km,Imbabura
 Volgswagen Saveiro Saveiro 1998 ,4.800, 1998 | 123456 km,Chimborazo
 Toyota Corolla 1.8 Gli ,9.300, 2007 | 380 km,Pichincha ( Quito )
 Ford Ranger Doble Cabina ,15.100, 2016 | 3100 km,Pichincha ( Quito )
 Peugeot 206 Hatshback ,6.500, 2005 | 195000 km,Pichincha ( Quito )
 Chevrolet Corsa Evolution ,8.400, 2004 | 152 km,Pichincha ( Quito )
 Chevrolet Aveo Emotion Sedan ,11.200, 2011 | 132000 km,Pichincha ( Quito )
 Kia Rio Sedan ,17.500, 2019 | 20000 km,Guayas
 Chevrolet Aveo Gls ,12.800, 2014 | 75000 km,Pichincha ( Quito )
 Citroën C3 C3 ,7.000, 2007 | 116 km,Pichincha ( Quito )
 Chevrolet Grand Vitara Gran Vitara ,7.800, 2002 | 310464 km,Cotopaxi
 Chevrolet Silverado 2.5 ,8.500, 2000 | 348000 km,Manabí
 Chevrolet D-max D-max Crdi 3.0 Cd 4x2 Turbo Diesel ,24.900, 2016 | 41000 km,Pichincha ( Quito )
 Chevrolet Optra Optra ,958, 2005 | 1888 km,Chimborazo
 Hyundai Accent 1.6 Mecanico 2014 ,12.800, 2014 | 97000 km,Guayas
 Chery Luxury Luxury ,15.800, 2019 | 10000 km,Imbabura
 Chevrolet Captiva Sport 2.4 - Aut- 175hp ,18.000, 2014 | 65000 km,Pichincha ( Quito )
 Fiat Uno Uno ,3.850, 1992 | 248000 km,Pichincha ( Quito )
" Chevrolet Sail 2013, Sedan ",11.500, 2013 | 112000 km,Pichincha ( Quito )
 Fiat Palio Palio Adventure ,8.000, 2006 | 206000 km,Pichincha ( Quito )
 Kia Rio Río Stylus Automátic ,7.800, 2010 | 200000 km,Pichincha ( Quito )
 Kia Rio Stylus ,7.300, 2004 | 263121 km,Pichincha ( Quito )
 Kia Cerato Cerato ,11.600, 2012 | 156000 km,Pichincha ( Quito )
 Great Wall Wingle Mecanica ,13.500, 2013 | 105000 km,Pichincha ( Quito )
 Hyundai Tucson Full Equipo ,27.500, 2018 | 36000 km,Pichincha ( Quito )
 Chevrolet Spark Full ,5.900, 2008 | 250 km,Imbabura
 Skoda Octavia A5 1.6 Gasolina ,9.200, 2008 | 155000 km,Pichincha ( Quito )
 Mazda Bt-50 Mazda Bt50 Full 4x4 ,19.800, 2011 | 240000 km,Guayas
 Chevrolet Grand Vitara Gran Vitara 5 Puerta ,13.500, 2013 | 84000 km,Pichincha ( Quito )
 Chevrolet D-max Camioneta 4x4 ,13.000, 2007 | 245083 km,Guayas
 Citroën Ds4 Ds4 ,24.000, 2014 | 60800 km,Chimborazo
 Chevrolet Grand Vitara Full Equipo ,13.000, 2012 | 139500 km,Pichincha ( Quito )
 Ford F150 F150 Xlt ,26.500, 2012 | 115000 km,Pichincha ( Quito )
 Mazda Mazda 3 Hatback ,9.490, 2007 | 245000 km,Pichincha ( Quito )
 Chery Qq6 2008 Full ,5.300, 2008 | 250000 km,Pichincha ( Quito )
 Kia Sportage At ,10.800, 2005 | 254400 km,Pichincha ( Quito )
 Kia Sportage Sportage Sl Ac 2.0 ,25.000, 2019 | 19000 km,Pichincha ( Quito )
